"","comp1","comp2"
"Vitvi01g00011",0,0
"Vitvi01g00050",0,0
"Vitvi01g00052",-0.122330394585455,0
"Vitvi01g00060",0,0
"Vitvi01g00081",-0.0668665429004232,0
"Vitvi01g00140",0,0
"Vitvi01g00170",0,0
"Vitvi01g00214",-0.0568165357323413,0
"Vitvi01g00294",0,0
"Vitvi01g00449",0,0
"Vitvi01g00589",0,0
"Vitvi01g00619",0,-0.176391239213795
"Vitvi01g00620",0,-0.0726777044444756
"Vitvi01g00621",0,-0.0975365559082204
"Vitvi01g00738",0,0
"Vitvi01g00800",0,0
"Vitvi01g00812",0,-0.12095558390515
"Vitvi01g00885",0,0
"Vitvi01g00911",0,0
"Vitvi01g00944",0,0
"Vitvi01g00957",0,0
"Vitvi01g01035",0,0
"Vitvi01g01373",0,0
"Vitvi01g01792",0,0
"Vitvi01g01936",0,0
"Vitvi01g02258",0,0
"Vitvi02g00015",0,0
"Vitvi02g00032",0,0
"Vitvi02g00086",0,0
"Vitvi02g00133",0,0
"Vitvi02g00163",0,0
"Vitvi02g00175",0,0
"Vitvi02g00184",0,0
"Vitvi02g00215",0,0
"Vitvi02g00224",0,0
"Vitvi02g00278",0,0
"Vitvi02g00318",0,0
"Vitvi02g00332",-0.0276715475652264,0
"Vitvi02g00434",-0.0284614053140228,0
"Vitvi02g00469",0,0
"Vitvi02g00510",0,0
"Vitvi02g00528",0,0
"Vitvi02g00529",0,0
"Vitvi02g00569",0,0
"Vitvi02g00573",0,0
"Vitvi02g00665",0,0
"Vitvi02g00666",-0.227592431245532,0
"Vitvi02g00680",0,0
"Vitvi02g00706",0,0
"Vitvi02g00738",0,0
"Vitvi02g01315",0,0.239548337164216
"Vitvi02g01529",0,0
"Vitvi02g01712",0,0
"Vitvi02g01727",0,0
"Vitvi02g01728",0,0
"Vitvi03g00025",0,0
"Vitvi03g00048",-0.0174324434434725,0
"Vitvi03g00294",0,0
"Vitvi03g00375",0,0
"Vitvi03g00379",0,0
"Vitvi03g00384",0,0
"Vitvi03g00712",0,0
"Vitvi03g01243",0,0
"Vitvi03g01397",0,0
"Vitvi03g01544",0,0
"Vitvi03g01614",0,0
"Vitvi03g01668",0,0
"Vitvi03g04146",0,0
"Vitvi03g04189",0,0
"Vitvi04g00148",0,0
"Vitvi04g00163",0,0
"Vitvi04g00166",0,0.00415051985921349
"Vitvi04g00167",0,0
"Vitvi04g00168",0,0
"Vitvi04g00229",0,0
"Vitvi04g00240",0,0
"Vitvi04g00241",0,0
"Vitvi04g00325",0,0
"Vitvi04g00350",0,0
"Vitvi04g00366",0,0
"Vitvi04g00463",0,0
"Vitvi04g00483",0,0
"Vitvi04g00501",0,0
"Vitvi04g00870",0,0
"Vitvi04g01092",0,0
"Vitvi04g01093",0,0
"Vitvi04g01224",0,0
"Vitvi04g01225",0,0
"Vitvi04g01268",0,0
"Vitvi04g01421",0,0
"Vitvi04g01468",0,0
"Vitvi04g01540",0,0
"Vitvi04g01611",0,0
"Vitvi04g01693",0,0
"Vitvi04g01694",0,0
"Vitvi04g01700",0,0
"Vitvi04g01740",0,0
"Vitvi04g01806",0,0
"Vitvi04g01825",0,0
"Vitvi04g01836",0,0
"Vitvi04g01909",0,0
"Vitvi04g02169",-0.188627573994226,0
"Vitvi04g02179",0,0
"Vitvi04g02288",0,0
"Vitvi04g04025",0,0
"Vitvi04g04080",0,0
"Vitvi05g00053",0,0.0613727334792309
"Vitvi05g00098",0,0
"Vitvi05g00209",0,0
"Vitvi05g00259",0,0
"Vitvi05g00315",0,0
"Vitvi05g00341",0,0
"Vitvi05g00360",0,0
"Vitvi05g00426",0,0
"Vitvi05g00442",0,0
"Vitvi05g00498",0,0
"Vitvi05g00565",0,0
"Vitvi05g00614",0,0
"Vitvi05g00621",0,0
"Vitvi05g00651",0,0
"Vitvi05g00652",0,0
"Vitvi05g00752",0,0
"Vitvi05g00795",0,0
"Vitvi05g00891",0,0
"Vitvi05g01046",0,0
"Vitvi05g01484",0,0
"Vitvi05g01601",-0.229375132076344,0
"Vitvi05g01629",0,0
"Vitvi05g01632",0,0
"Vitvi05g01639",0,0
"Vitvi05g01700",0,0
"Vitvi05g01710",0,0
"Vitvi05g01851",0,0
"Vitvi05g01900",0,0
"Vitvi05g02048",0,0
"Vitvi05g02138",0,0
"Vitvi06g00024",0,0
"Vitvi06g00064",0,0
"Vitvi06g00069",0,0
"Vitvi06g00201",0,0
"Vitvi06g00311",0,0
"Vitvi06g00321",0,0
"Vitvi06g00372",0,0
"Vitvi06g00424",0,0
"Vitvi06g00463",0,0
"Vitvi06g00513",0,0
"Vitvi06g00517",0,0
"Vitvi06g00715",0,0
"Vitvi06g00834",0,0
"Vitvi06g00962",0,0
"Vitvi06g00994",0,0
"Vitvi06g01203",0,0
"Vitvi06g01269",0,0
"Vitvi06g01318",0,0
"Vitvi06g01349",0,0.264217373929069
"Vitvi06g01409",-0.069654964387144,0
"Vitvi06g01410",0,0
"Vitvi06g01425",0,0
"Vitvi06g04203",0,0
"Vitvi06g04232",0,0
"Vitvi07g00035",0,0
"Vitvi07g00044",0,0
"Vitvi07g00202",0,0
"Vitvi07g00271",0,0
"Vitvi07g00289",0,0
"Vitvi07g00294",0,0
"Vitvi07g00470",0,0
"Vitvi07g00508",0,0
"Vitvi07g00669",0,0
"Vitvi07g00708",0,0
"Vitvi07g01221",0,0
"Vitvi07g01306",0,0
"Vitvi07g01603",0,0
"Vitvi07g01608",0,0
"Vitvi07g01609",0,0
"Vitvi07g01620",0,0
"Vitvi07g01744",0,0
"Vitvi07g01745",0,0
"Vitvi07g01760",0,0
"Vitvi07g01762",0,0
"Vitvi07g01871",0,0
"Vitvi07g01893",0,0
"Vitvi07g02074",0,0
"Vitvi07g02143",0,0
"Vitvi07g02210",0,0
"Vitvi07g02271",0,0
"Vitvi07g02666",0,0
"Vitvi07g02711",0,0
"Vitvi07g03056",0,0
"Vitvi07g04572",0,0
"Vitvi07g04605",0,0
"Vitvi07g04734",0,0
"Vitvi07g04759",0,0
"Vitvi08g00085",0,0
"Vitvi08g00138",0,0
"Vitvi08g00187",0,0
"Vitvi08g00289",0,0
"Vitvi08g00757",0,0
"Vitvi08g00780",0,0
"Vitvi08g00934",0,0
"Vitvi08g00944",0,0
"Vitvi08g00970",-0.0243319651243659,0
"Vitvi08g00995",0,0
"Vitvi08g01059",0,0
"Vitvi08g01107",0,0.188172296280262
"Vitvi08g01150",0,0
"Vitvi08g01162",0,0
"Vitvi08g01239",0,0
"Vitvi08g01245",-0.180526053321401,0
"Vitvi08g01301",-0.0987452973555479,0
"Vitvi08g01386",0,0
"Vitvi08g01462",0,0
"Vitvi08g01556",-0.0410075428240714,0
"Vitvi08g01572",0,0
"Vitvi08g01574",0,0
"Vitvi08g01622",0,0
"Vitvi08g01624",0,0
"Vitvi08g01627",0,0
"Vitvi08g01655",0,0
"Vitvi08g01676",0,0
"Vitvi08g01768",0,0
"Vitvi08g01777",0,0
"Vitvi08g01797",0,0
"Vitvi08g01812",0,0
"Vitvi08g01820",0,0
"Vitvi08g01915",0,0
"Vitvi08g02103",0,0
"Vitvi08g02238",0,0
"Vitvi08g02243",0,0
"Vitvi08g02271",0,0
"Vitvi08g02319",0,0
"Vitvi08g04371",0,0
"Vitvi08g04410",0,0
"Vitvi09g00190",0,0
"Vitvi09g00202",0,0
"Vitvi09g00220",0,0.311020274455102
"Vitvi09g00285",0,0
"Vitvi09g00336",0,0
"Vitvi09g00340",0,0
"Vitvi09g00370",0,0
"Vitvi09g00372",0,0
"Vitvi09g00577",0,0
"Vitvi09g00653",0,0
"Vitvi09g00988",0,0
"Vitvi09g01155",0,0
"Vitvi09g01272",0,0
"Vitvi09g01280",0,0
"Vitvi09g01302",0,0
"Vitvi09g01471",0,0
"Vitvi09g01600",0,0
"Vitvi09g01601",0,0
"Vitvi09g04497",0,0
"Vitvi10g00220",0,0
"Vitvi10g00398",0,0
"Vitvi10g00480",0,0
"Vitvi10g00543",0,-0.0329456006059769
"Vitvi10g00609",0,0
"Vitvi10g00712",0,0
"Vitvi10g00715",0,0
"Vitvi10g00719",0,0
"Vitvi10g00723",0,0
"Vitvi10g00741",0,0
"Vitvi10g00755",0,0
"Vitvi10g00829",0,0
"Vitvi10g00849",0,0
"Vitvi10g00889",0,0
"Vitvi10g00905",0,0
"Vitvi10g01554",0,0
"Vitvi10g01767",0,0
"Vitvi10g01771",0,0
"Vitvi10g04225",0,0
"Vitvi10g04418",0,0.176262189323145
"Vitvi11g00052",0,0
"Vitvi11g00083",0,0
"Vitvi11g00174",0,0
"Vitvi11g00208",0,0
"Vitvi11g00224",0,0
"Vitvi11g00395",0,0
"Vitvi11g00464",0,0
"Vitvi11g00535",0,0
"Vitvi11g00583",0,0
"Vitvi11g00601",0,0
"Vitvi11g00713",0,0
"Vitvi11g01085",0,0
"Vitvi11g01101",0,0
"Vitvi11g01169",0,0
"Vitvi11g01273",0,0
"Vitvi11g01298",0,0
"Vitvi11g01309",0,0
"Vitvi11g01345",0,0
"Vitvi11g01643",0,0
"Vitvi11g04039",0,0
"Vitvi11g04105",0,0
"Vitvi12g00037",0,0
"Vitvi12g00115",0,0
"Vitvi12g00137",0,0
"Vitvi12g00200",0,0.396407212736835
"Vitvi12g00284",-0.365489610490421,0
"Vitvi12g00540",0,0
"Vitvi12g00634",0,0
"Vitvi12g01806",0,0
"Vitvi12g01819",0,0
"Vitvi12g01876",0,-0.0124620584370745
"Vitvi12g01880",0,0
"Vitvi12g01968",0,0
"Vitvi12g02034",0,0
"Vitvi12g02334",0,0
"Vitvi12g02554",0,0
"Vitvi12g02659",0,0
"Vitvi12g04510",0,0
"Vitvi12g04511",0,0
"Vitvi12g04523",0,0
"Vitvi13g00012",0,0
"Vitvi13g00017",0,0
"Vitvi13g00115",0,0
"Vitvi13g00214",0,0
"Vitvi13g00234",-0.0784606515379983,0
"Vitvi13g00248",0,0
"Vitvi13g00250",0,-0.031173706660896
"Vitvi13g00275",0,0
"Vitvi13g00507",0,0
"Vitvi13g00606",0,0
"Vitvi13g00700",0,0.157687899892605
"Vitvi13g00707",0,0
"Vitvi13g00786",0,-0.0116750049565114
"Vitvi13g00843",0,0
"Vitvi13g00996",0,0
"Vitvi13g01050",0,-0.00767658020177805
"Vitvi13g01144",0,0
"Vitvi13g01173",0,0
"Vitvi13g01298",0,0
"Vitvi13g01436",0,0
"Vitvi13g01633",0,0
"Vitvi13g01654",0,-0.26361073360699
"Vitvi13g01710",0,0
"Vitvi13g01766",0,0
"Vitvi13g01902",0,0
"Vitvi13g01988",0,0
"Vitvi13g04698",0,0
"Vitvi13g04706",0,0
"Vitvi14g00053",0,0
"Vitvi14g00061",0,0
"Vitvi14g00080",0,0
"Vitvi14g00100",0,0
"Vitvi14g00188",0,0
"Vitvi14g00246",0,0
"Vitvi14g00284",0,0
"Vitvi14g00388",0,0
"Vitvi14g00415",0,0
"Vitvi14g00561",0,0
"Vitvi14g01035",0,0
"Vitvi14g01162",0,0
"Vitvi14g01179",0,0
"Vitvi14g01212",0,0
"Vitvi14g01228",0,0
"Vitvi14g01341",0,0
"Vitvi14g01398",0,0
"Vitvi14g01424",0,0
"Vitvi14g01489",0,0
"Vitvi14g01511",0,0
"Vitvi14g01557",0,0
"Vitvi14g01589",0,0
"Vitvi14g01656",0,0
"Vitvi14g01696",0,0
"Vitvi14g01698",0,0
"Vitvi14g01744",0,0
"Vitvi14g01782",0,0
"Vitvi14g01811",0,0
"Vitvi14g02013",0,0
"Vitvi14g02018",0,0
"Vitvi14g02454",0,0
"Vitvi14g02474",0,0
"Vitvi14g02582",0,0
"Vitvi14g02894",0,0
"Vitvi14g04680",0,0
"Vitvi15g00046",0,0
"Vitvi15g00247",0,0
"Vitvi15g00289",-0.212978065930092,0
"Vitvi15g00579",0,0
"Vitvi15g00708",0,0
"Vitvi15g00728",0,0
"Vitvi15g00846",0,0
"Vitvi15g01085",0,0
"Vitvi15g01134",0,0
"Vitvi15g01168",0,0
"Vitvi15g01181",0,0
"Vitvi15g01504",0,0
"Vitvi15g01629",0,0
"Vitvi15g04491",0,0
"Vitvi15g04492",0,0
"Vitvi16g00031",0,0
"Vitvi16g00112",0,0
"Vitvi16g00182",0,0
"Vitvi16g00567",0,-0.0164837457151127
"Vitvi16g00713",0,0
"Vitvi16g00789",0,0
"Vitvi16g00793",0,0
"Vitvi16g00838",0,0
"Vitvi16g00869",0,0
"Vitvi16g00931",-0.0368772569575271,0
"Vitvi16g01018",0,0
"Vitvi16g01099",0,0
"Vitvi16g01142",0,0
"Vitvi16g01192",0,0
"Vitvi16g01203",0,0
"Vitvi16g01324",0,0
"Vitvi16g01363",0,0
"Vitvi16g01388",0,0
"Vitvi16g01981",0,0
"Vitvi17g00016",0,0
"Vitvi17g00029",0,0
"Vitvi17g00074",0,0
"Vitvi17g00100",0,0
"Vitvi17g00261",-0.095572178492575,0
"Vitvi17g00271",0,0
"Vitvi17g00302",0,0
"Vitvi17g00320",0,0
"Vitvi17g00407",0,0
"Vitvi17g00497",0,0
"Vitvi17g00557",-0.280225499711,0
"Vitvi17g00621",0,-0.464042917928775
"Vitvi17g00673",0,0
"Vitvi17g00753",0,0
"Vitvi17g00758",0,0
"Vitvi17g00822",0,0
"Vitvi17g00829",0,0
"Vitvi17g00953",0,0
"Vitvi17g00969",0,0
"Vitvi17g01003",0,0
"Vitvi17g01038",0,0
"Vitvi17g01368",0,0
"Vitvi18g00046",0,0
"Vitvi18g00054",0,0
"Vitvi18g00181",0,0
"Vitvi18g00193",0,0
"Vitvi18g00216",0,0
"Vitvi18g00355",0,0
"Vitvi18g00360",0,0
"Vitvi18g00388",0,0
"Vitvi18g00438",0,0
"Vitvi18g00445",0,0
"Vitvi18g00523",-0.240595889054164,0
"Vitvi18g00589",-0.124236824286142,0
"Vitvi18g00604",0,0
"Vitvi18g00618",0,0
"Vitvi18g00683",0,0
"Vitvi18g00758",0,0.18414191192601
"Vitvi18g00867",0,0
"Vitvi18g00898",0,0
"Vitvi18g00924",0,0
"Vitvi18g00929",0,0
"Vitvi18g00976",0,0
"Vitvi18g00992",0,0
"Vitvi18g00999",0,0
"Vitvi18g01006",0,0
"Vitvi18g01019",0,0
"Vitvi18g01130",0,0
"Vitvi18g01213",0,0
"Vitvi18g01252",0,0
"Vitvi18g01571",-0.572038989819627,0
"Vitvi18g01674",0,0
"Vitvi18g01682",0,0
"Vitvi18g01703",0,0
"Vitvi18g02192",-0.32966920920388,0
"Vitvi18g02237",0,-0.0177028499578479
"Vitvi18g02431",0,0
"Vitvi18g02434",0,0
"Vitvi18g02476",0,0
"Vitvi18g02503",-0.0514656876012132,0
"Vitvi18g02621",0,0.0284209768083623
"Vitvi18g02625",0,0
"Vitvi18g02680",0,0
"Vitvi18g02753",0,0
"Vitvi18g02775",0,0
"Vitvi18g03051",0,0
"Vitvi18g03264",0,0
"Vitvi18g04221",0,0
"Vitvi18g04784",0,0
"Vitvi18g04795",0,0
"Vitvi19g00042",0,0
"Vitvi19g00264",0,0
"Vitvi19g00537",0,0
"Vitvi19g00576",0,0
"Vitvi19g00579",0,0
"Vitvi19g00581",0,0
"Vitvi19g00590",0,0
"Vitvi19g00606",0,0
"Vitvi19g00623",0,0
"Vitvi19g00906",0,0
"Vitvi19g01352",0,0
"Vitvi19g01692",0,0
"Vitvi19g01737",0,0
"Vitvi19g01739",0,0
"Vitvi19g01751",0,0
"Vitvi19g01952",0,0.375142836096574
"Vitvi19g02038",0,0
"Vitvi19g02084",0,0
"Vitvi19g02085",0,0
"Vitvi19g02102",0,0
"Vitvi19g02208",0,0
