"","comp1","comp2"
"RXN.12440__cyto",-0.208675415790817,0
"GLUTDEHYD.RXN__chlo",0,0
"X1.10.2.2.RXN__mito",0,0
"SULFATE.ADENYLYLTRANS.RXN__chlo",0,0
"RXN.7913__cyto",0,0
"GLUTSEMIALDEHYDROG.RXN__chlo",0,0
"GLUTSEMIALDEHYDROG.RXN__cyto",0,0
"RXN.15745__mito",0,0
"RXN.14216__er",0,0
"TO1000053__chlo__cyto",0,0
"X6PGLUCONOLACT.RXN__chlo",0,0
"X6PGLUCONOLACT.RXN__cyto",0,0
"RXN.11501__cyto",0,0
"TI3000053__chlo__cyto",0,0
"TI3000053__cyto__extr",0,0
"ACETATE..COA.LIGASE.RXN__cyto",0,0
"ACETATE..COA.LIGASE.RXN__pero",0,0
"TO3000624__cyto__extr",0,0
"TO3000624__chlo__cyto",0,0
"TI3000278__cyto__extr",0,0
"TI3000278__chlo__cyto",0,0
"TI3000278__er__cyto",0,0
"TI3001291__cyto__extr",0,0
"TI3001291__chlo__cyto",0,0
"HOMOSERDEHYDROG.RXN__chlo",0,0
"TI3000059__cyto__extr",0,0
"GLUTAMATE.DEHYDROGENASE.RXN__chlo",0,0
"GLUTAMATE.DEHYDROGENASE.RXN__mito",0,0
"GLUTAMATE.DEHYDROGENASE.RXN__cyto",0,0
"RXN.7677__chlo",0,0
"TO3000761__cyto__extr",0,0
"TO3000761__chlo__cyto",0,0
"TO3000761__er__cyto",0,0
"TI3000590__cyto__extr",0,0
"TI3000590__chlo__cyto",0,0
"TO0000137__chlo__cyto",0,0
"GLUTKIN.RXN__chlo",0,0
"GLUTKIN.RXN__cyto",0,0
"RXN.6883__mito",0,0
"TI3001424__cyto__extr",0,0
"RXN3O.458__er",0,0
"RXN.14116__mito",0,0
"CHOLINE.KINASE.RXN__cyto",0,0
"ARACHIDONATE..COA.LIGASE.RXN__er",0,0
"RXN0.5260__mito",0,0
"TO3000418__cyto__extr",0,0
"TO3000418__chlo__cyto",0,0
"TI2000430__cyto__extr",0,0
"RXN.17121__cyto",0,0
"RXN.969__pero",0,0
"RXN.969__chlo",-0.0371355303296844,0
"URACIL.PRIBOSYLTRANS.RXN__chlo",0,0
