"","comp1","comp2"
"xylose",0,0
"xylonic.acid",0.104852626275995,0
"vanillic.acid",0,0
"valine",0,0
"urea",0,0
"uracil",0,0
"UDP.glucuronic.acid",0.135102574691338,0
"tyrosol",0,0
"tyrosine",0,0
"tryptophan",-0.0284060503621009,0
"trehalose",0,0
"thymidine",0,0
"threonine",0,0
"threonic.acid",-0.274146228410506,0
"tartaric.acid",-0.280641902602062,0
"sucrose",0.333637922728867,0
"succinic.acid",0,0
"stearic.acid",0,0
"sophorose",0,0
"shikimic.acid",0,-0.38397905631185
"serine",0,0
"salicylaldehyde",0,0
"saccharic.acid",0,0
"ribose",0,0
"ribonic.acid",0,0
"raffinose",-0.162892559357668,0
"quinic.acid",0,0
"pyruvic.acid",0,0
"pyrophosphate",0,0
"putrescine",0,0
"propane.1.3.diol.NIST",0,0
"proline",0,0
"pipecolinic.acid",0,0.420359676003575
"phosphate",0,0
"phenylethylamine",0,0
"phenylethanol.NIST",0,0
"phenylalanine",0,0
"phenol",0,0
"pentonic.acid",0,0
"pentitol",0,0
"pelargonic.acid",0,0
"palmitic.acid",0,0
"oxoproline",0,0
"ornithine",0,0
"oleic.acid",0,0
"octanol.NIST",0,0
"octadecanol",0,0
"N.acetylmannosamine",0,0
"n.acetyl.d.hexosamine",0,0
"myristic.acid",0,0
"myo.inositol",0,0
"mucic.acid",0,0
"montanic.acid",0,0
"maltose",0.15923157253588,0
"maltitol",0,0
"malic.acid",-0.36986956438918,0
"maleic.acid",0,0
"lyxitol",0,0
"lysine",0,0
"levoglucosan",0,0
"leucrose",0,0
"leucine",0,0.0241522529124722
"lauric.acid",0,0
"lactose",0,0
"lactitol",0.196759686308784,0
"lactic.acid",0,0
"isothreonic.acid",0,0
"isoleucine",0,0
"isohexonic.acid",0,0
"isogluconic.acid",0,0
"isocitric.acid",-0.0521831053316605,0
"hydroxylamine",0,0
"hydroxycarbamate.NIST",0,0
"hexitol",0.224875432836086,0
"hexadecane",0,0
"heptadecanoic.acid",0,0
"glycolic.acid",0,0
"glycine",0,0
"glycerol.alpha.phosphate",0,0
"glycerol.3.galactoside",0,0
"glycerol",0,0
"glyceric.acid",0,0
"glutamine",0,0
"glutamic.acid",0.0618551286002799,0
"glucose.6.phosphate",0,0
"glucose.1.phosphate",0,0
"glucose",0.338777016778489,0
"gluconic.acid",0,0
"glucoheptulose",0,0
"galacturonic.acid",0,0
"galactonic.acid",0,0
"galactinol",-0.158146588633315,0
"fumaric.acid",0,0
"fructose",0.239956258839516,0
"ethanolamine",0,0
"ethanol.phosphate.NIST",0,0
"erythronic.acid",0,0
"erythritol",0,0
"epsilon.caprolactam",0,0
"epicatechin",0,0
"dodecanol",0,0
"digalacturonic.acid",0,0
"deoxypentitol",0,0
"dehydroascorbic.acid",0,0
"dehydroabietic.acid",0,0
"citrulline",0,0
"citric.acid",-0.0135271394138483,0
"citramalic.acid",0,0
"cerotinic.aci",0,0
"cellobiose",0.138530675848163,0
"catechin",0,0
"caprylic.acid",0,0
"capric.acid",0,0
"butyraldehyde",0,0
"butane.2.3.diol.NIST",0,0
"beta.sitosterol",0,0
"beta.gentiobiose",0,0.317929710247401
"beta.alanine",0,0
"benzoic.acid",0,0
"aspartic.acid",0,0
"asparagine",0,0
"arachidic.acid",0,0
"alpha.ketoglutarate",-0.216013549222205,0
"alanine",0,0.055606668178702
"adipic.acid",0,0
"acetophenone.NIST",0,0
"X6.deoxyglucose",0.109419783755969,0
"X6.deoxyglucitol",0,0
"X4.aminobutyric.acid",0,0
"X3.6.anhydro.D.galactose",0.0445838385061468,0
"X3.4.dihydroxybenzoic.acid",0,0
"X2.isopropylmalic.acid",0,0
